id,外貌,星座,状态,性格,消费观念,是否接收私房钱,收入,男生收入,男生消费情况,男生颜值,结果
99,2,3,2,1,1,2,2,2,2,1,2
99,2,3,2,1,1,2,2,2,2,2,2
101,2,1,2,2,1,2,2,1,1,1,4
101,2,1,2,2,1,2,2,1,1,2,4
101,2,1,2,2,1,2,2,1,2,1,4
101,2,1,2,2,1,2,2,1,2,2,4
101,2,1,2,2,1,2,2,2,1,1,4
101,2,1,2,2,1,2,2,2,1,2,4
101,2,1,2,2,1,2,2,2,2,1,3
101,2,1,2,2,1,2,2,2,2,2,3
102,1,3,2,3,3,2,2,1,1,1,2
102,1,3,2,3,3,2,2,1,1,2,2
102,1,3,2,3,3,2,2,1,2,1,2
102,1,3,2,3,3,2,2,1,2,2,2
102,1,3,2,3,3,2,2,2,1,1,1
102,1,3,2,3,3,2,2,2,1,2,1
102,1,3,2,3,3,2,2,2,2,1,1
102,1,3,2,3,3,2,2,2,2,2,1
103,2,4,1,1,1,2,2,1,1,1,2
103,2,4,1,1,1,2,2,1,1,2,1
103,2,4,1,1,1,2,2,1,2,1,1
103,2,4,1,1,1,2,2,1,2,2,1
103,2,4,1,1,1,2,2,2,1,1,1
103,2,4,1,1,1,2,2,2,1,2,1
103,2,4,1,1,1,2,2,2,2,1,1
103,2,4,1,1,1,2,2,2,2,2,1
106,1,4,1,1,1,2,3,1,1,1,3
106,1,4,1,1,1,2,3,1,1,2,2
106,1,4,1,1,1,2,3,1,2,1,1
106,1,4,1,1,1,2,3,1,2,2,1
106,1,4,1,1,1,2,3,2,1,1,3
106,1,4,1,1,1,2,3,2,1,2,3
106,1,4,1,1,1,2,3,2,2,1,3
106,1,4,1,1,1,2,3,2,2,2,4
107,1,4,1,1,1,1,3,1,1,1,2
107,1,4,1,1,1,1,3,1,1,2,2
107,1,4,1,1,1,1,3,1,2,1,2
107,1,4,1,1,1,1,3,1,2,2,1
